Kolonne1	Kolonne2	Kolonne3	Kolonne4
Regler - Generelle dokumentationsregler.aspx	"href=""http://www.sygeforsikring.dk/default.aspx?ID=328"""		
Lister - Adresser til flyselskaber.aspx	"href=""http://www.thy.com/baggage/?lang=en"""		
Rejsens gennemsnitlige pris pr. dag.aspx	"href=""http://www.viamichelin.com/"""		
Lister - Adresser til flyselskaber.aspx	"href=""https://book.wizzair.com/en-GB/Claims"""		
Lister - Sikker post adresser.aspx	"href=""https://dfim.dk/dansk/dfim/om-dfim/Documents/Selskabernes%20sikre%20emailadresser.pdf"""		
Lister - Sikker post adresser.aspx	"href=""https://dfim.dk/dansk/dfim/om-dfim/Documents/Selskabernes%20sikre%20emailadresser.pdf"""		
Erklæringer og brevskabeloner - Skema til beregning af rejsens pris ved ødelagte feriedage.aspx	"href=""https://mit.bauta.dk/bautaexpress/site/bauta?WSLOAD=KaldRejseudgifter&amp"	"WSCONTEXT=Y"""	
Erklæringer og brevskabeloner - Skema til beregning af rejsens pris ved ødelagte feriedage.aspx	"href=""https://mit.fdmforsikring.dk/fdmexpress/site/fdm?WSLOAD=KaldRejseudgifter&amp"	"WSCONTEXT=Y"""	
Erklæringer og brevskabeloner - Skema til beregning af rejsens pris ved ødelagte feriedage.aspx	"href=""https://mit.lb.dk/lbexpress/site/lb?WSLOAD=KaldRejseudgifter&amp"	"WSCONTEXT=Y"""	
Erklæringer og brevskabeloner - Skema til beregning af rejsens pris ved ødelagte feriedage.aspx	"href=""https://mit.runa.dk/runaexpress/site/runa?WSLOAD=KaldRejseudgifter&amp"	"WSCONTEXT=Y"""	
Forretningsgange og retningslinier - Forretningsgang for F2.aspx	"href=""https://risikoportal.lb.dk/Pages/DocumentManagement/Documents/357/approved"""		
Det gule kort - Dækningsområde.aspx	"href=""https://stps.dk/da/borgere/international-sygesikring/hjemtransport/"""		
Lister - Adresser til flyselskaber.aspx	"href=""https://www.airberlin.com/en-US/feedback/complaint/"""		
Det blå kort - Dækningsområde.aspx	"href=""https://www.borger.dk/sundhed-og-sygdom/Sygesikring-og-laegevalg/EU-sygesikringskortet-det-blaa-kort"""		
Lister - Adresser til flyselskaber.aspx	"href=""https://www.care.flysas.com/selfservice/feedbackform/?market=DK"""		
Lister - Adresser til flyselskaber.aspx	"href=""https://www.copaair.com/en/web/us/comments-and-complaints"""		
Lister - Adresser til flyselskaber.aspx	"href=""https://www.csa.cz/en/portal/info-and-services/customer-support/complaint-form.htm"""		
Lister - Adresser til flyselskaber.aspx	"href=""https://www.ethiopianairlines.com/services/support/support-feedback"""		
Lister - Adresser til flyselskaber.aspx	"href=""https://www.finnair.com/int/gb/information-services/feedback"""		
Lister - Sikker post adresser.aspx	"href=""https://www.medarbejdersignatur.dk/produkter/nemid_medarbejdersignatur/information_om_nemid/sikker_e-mail/soeg_certifikat/"""		
Lister - Sikker post adresser.aspx	"href=""https://www.medarbejdersignatur.dk/produkter/nemid_medarbejdersignatur/information_om_nemid/sikker_e-mail/soeg_certifikat/"""		
Lister - Adresser til flyselskaber.aspx	"href=""https://www.olympicair.com/en/OlympicAir/ContactForm"""		
3. Erstatning - Hvordan beregnes antallet af dage.aspx	"href=""https://www.timeanddate.com/date/duration.html"""		
Lister - Adresser til flyselskaber.aspx	"href=""https://www.voegol.com.br/en/customer-service/contact-us"""		
