Filnavn;Branche;Content;IsLinkCoincidence;FileInLink;NytLink;Prefix;Kolonne1;Kolonne2;Kolonne3
Falck LGA - Storskader.aspx;Rejse;"href=""http://intranet.lb.dk/Skade/hb/GenerelSkadepolitik/Sider/Reserveindberetning.aspx""";false;Reserveindberetning.aspx;https://lbforsikring.sharepoint.com/sites/skade/sitepages/;;;;
Falck LGA - Ubetalte USA regninger.aspx;Rejse;"href=""/Skade/hb/RejseNY/Delte%20dokumenter/TB.5.20.I%20-%20HIPAA.docx""";false;TB.5.20.I%20-%20HIPAA.docx;https://lbforsikring.sharepoint.com/sites/Skade/Rejse/;;;;
Forretningsgange og retningslinier - Forlængelser hos Selandia.aspx;Rejse;"href=""/policehaandbog/bg3/Sider/Arkiv_bg_30_Kontakt-oplysninger-til-Selandia.aspx""";false;Arkiv_bg_30_Kontakt-oplysninger-til-Selandia.aspx;http://intranet.lb.dk/Sider/policehaandbog/bg3/Sider/;;;;
Forretningsgange og retningslinier - Lægekonsulenter  og diagnoseliste.aspx;Rejse;"href=""/Skade/hb/RejseNY/Delte%20dokumenter/Diagnoseliste%20gamle%20vilkår%2022.10.2017.docx""";false;Diagnoseliste%20gamle%20vilkår%2022.10.2017.docx;https://lbforsikring.sharepoint.com/sites/Skade/Rejse/;;;;
Forretningsgange og retningslinier - Lægekonsulenter  og diagnoseliste.aspx;Rejse;"href=""/Skade/hb/RejseNY/Delte%20dokumenter/Diagnoseliste%20nye%20vilkår%2022.10.2017.docx""";false;Diagnoseliste%20nye%20vilkår%2022.10.2017.docx;https://lbforsikring.sharepoint.com/sites/Skade/Rejse/;;;;
Forretningsgange og retningslinier - Lægekonsulenter  og diagnoseliste.aspx;Rejse;"href=""/Skade/hb/RejseNY/Delte%20dokumenter/Spørgsmål%20til%20lægen%20AFBEST%20RE7.docx""";false;Spørgsmål%20til%20lægen%20AFBEST%20RE7.docx;https://lbforsikring.sharepoint.com/sites/Skade/Rejse/;;;;
Forretningsgange og retningslinier - Lægekonsulenter  og diagnoseliste.aspx;Rejse;"href=""/Skade/hb/RejseNY/Delte%20dokumenter/Spørgsmål%20til%20lægen%20AFBEST%20RE8.docx""";false;Spørgsmål%20til%20lægen%20AFBEST%20RE8.docx;https://lbforsikring.sharepoint.com/sites/Skade/Rejse/;;;;
Forretningsgange og retningslinier - Lægekonsulenter  og diagnoseliste.aspx;Rejse;"href=""/Skade/hb/RejseNY/Delte%20dokumenter/Spørgsmål%20til%20lægen%20Hjemkald.docx""";false;Spørgsmål%20til%20lægen%20Hjemkald.docx;https://lbforsikring.sharepoint.com/sites/Skade/Rejse/;;;;
Forretningsgange og retningslinier - Lægekonsulenter  og diagnoseliste.aspx;Rejse;"href=""/Skade/hb/RejseNY/Delte%20dokumenter/Spørgsmål%20til%20lægen%20Hjemtransp.docx""";false;Spørgsmål%20til%20lægen%20Hjemtransp.docx;https://lbforsikring.sharepoint.com/sites/Skade/Rejse/;;;;
Forretningsgange og retningslinier - Lægekonsulenter  og diagnoseliste.aspx;Rejse;"href=""/Skade/hb/RejseNY/Delte%20dokumenter/Spørgsmål%20til%20lægen%20ØFD%20RE7.docx""";false;Spørgsmål%20til%20lægen%20ØFD%20RE7.docx;https://lbforsikring.sharepoint.com/sites/Skade/Rejse/;;;;
Forretningsgange og retningslinier - Lægekonsulenter  og diagnoseliste.aspx;Rejse;"href=""/Skade/hb/RejseNY/Delte%20dokumenter/Spørgsmål%20til%20lægen%20ØFD%20RE8.docx""";false;Spørgsmål%20til%20lægen%20ØFD%20RE8.docx;https://lbforsikring.sharepoint.com/sites/Skade/Rejse/;;;;
Forretningsgange og retningslinier - Reassurance - indberetning af skader over 1 mio kr.aspx;Rejse;"href=""/Skade/hb/GenerelSkadepolitik/Sider/Reserve.aspx""";false;Reserve.aspx;https://lbforsikring.sharepoint.com/sites/skade/sitepages/;;;;
Forretningsgange og retningslinier - Reserver.aspx;Rejse;"href=""/Skade/hb/GenerelSkadepolitik/Sider/Reserve.aspx""";false;Reserve.aspx;https://lbforsikring.sharepoint.com/sites/skade/sitepages/;;;;
Forretningsgange og retningslinier - Reserver.aspx;Rejse;"href=""/Skade/hb/RejseNY/SitePages/Falck%20LGA%20-%20Reserver.aspx""";false;Falck%20LGA%20-%20Reserver.aspx;https://lbforsikring.sharepoint.com/sites/skade/sitepages/;;;;
Forretningsgange og retningslinier - Skadeadvis.aspx;Rejse;"href=""/Skade/hb/RejseNY/SitePages/System%20-%20Hvornår%20genereres%20der%20en%20skadeadvis.aspx""";false;System%20-%20Hvornår%20genereres%20der%20en%20skadeadvis.aspx;https://lbforsikring.sharepoint.com/sites/skade/sitepages/;;;;
Lister - Forsikringer på kreditkort.aspx;Rejse;"href=""/Skade/hb/RejseNY/Delte%20dokumenter/Mastercard%20dækningsoversigt.xlsx""";false;Mastercard%20dækningsoversigt.xlsx;https://lbforsikring.sharepoint.com/sites/Skade/Rejse/;;;;
Lister - Statistikkoder og hvordan anvendes de.aspx;Rejse;"href=""/Skade/hb/RejseNY/Delte%20dokumenter/Statistikkoder-retningslinjer%20pr%2017.05.13.xlsx""";false;Statistikkoder-retningslinjer%20pr%2017.05.13.xlsx;https://lbforsikring.sharepoint.com/sites/Skade/Rejse/;;;;
Regler - Generelle dokumentationsregler.aspx;Rejse;"href=""/Skade/hb/indbo/SitePages/Afskrivning%20-%20briller%20og%20solbriller.aspx""";false;Afskrivning%20-%20briller%20og%20solbriller.aspx;https://lbforsikring.sharepoint.com/sites/skade/sitepages/;;;;
Regler - Generelle dokumentationsregler.aspx;Rejse;"href=""/Skade/hb/indbo/SitePages/Dokumentation%20for%20kontanter.aspx""";false;Dokumentation%20for%20kontanter.aspx;https://lbforsikring.sharepoint.com/sites/skade/sitepages/;;;;
Regler - Generelle dokumentationsregler.aspx;Rejse;"href=""/Skade/hb/indbo/SitePages/Dokumentation.aspx""";true;Dokumentation.aspx;https://lbforsikring.sharepoint.com/sites/skade/sitepages/;Indbo;;;
Regler - Generelle dokumentationsregler.aspx;Rejse;"href=""/Skade/hb/indbo/SitePages/Erstatning%20for%20briller%20-%20tilskud%20fra%20Danmark.aspx""";false;Erstatning%20for%20briller%20-%20tilskud%20fra%20Danmark.aspx;https://lbforsikring.sharepoint.com/sites/skade/sitepages/;;;;
Regler - Generelle dokumentationsregler.aspx;Rejse;"href=""/Skade/hb/indbo/SitePages/Iphones%20-%20Garanti%20-%20Reklamation%20-%20Reparation%20-%20Ombytning.aspx""";false;Iphones%20-%20Garanti%20-%20Reklamation%20-%20Reparation%20-%20Ombytning.aspx;https://lbforsikring.sharepoint.com/sites/skade/sitepages/;;;;
Regler - Generelle dokumentationsregler.aspx;Rejse;"href=""/Skade/hb/indbo/SitePages/Kosmetik.aspx""";false;Kosmetik.aspx;https://lbforsikring.sharepoint.com/sites/skade/sitepages/;;;;
Regler - Generelle dokumentationsregler.aspx;Rejse;"href=""/Skade/hb/indbo/SitePages/Skadet%20Iphone,%20når%20ny%20model%20er%20lanceret.aspx""";false;Skadet%20Iphone,%20når%20ny%20model%20er%20lanceret.aspx;https://lbforsikring.sharepoint.com/sites/skade/sitepages/;;;;
Regler - Medarbejdersager.aspx;Rejse;"href=""/Skade/hb/GenerelSkadepolitik/Sider/Sagerhvoransatteerinvolveret.aspx""";false;Sagerhvoransatteerinvolveret.aspx;https://lbforsikring.sharepoint.com/sites/skade/sitepages/;;;;
System - WEB-anlæggelse.aspx;Rejse;"href=""/Skade/hb/RejseNY/SiteAssets/SitePages/System%20-%20WEB-anlæggelse/web-anlæggelse.pdf""";false;web-anlæggelse.pdf;https://lbforsikring.sharepoint.com/sites/Skade/Rejse/;;;;
