DestinationPath;ContentType;IndboArea;Kategori;LBInfo;LBTeaser
Ankenævnskendelser vedrørende erstatning for unika.aspx;IndboManual;;Ankenævnskendelser og domme;;
Ankenævnskendelser vedrørende fareforøgelse.aspx;IndboManual;;Ankenævnskendelser og domme;;
Ankenævnskendelser vedrørende forsvarlig aflåsning.aspx;IndboManual;;Ankenævnskendelser og domme;;
Ankenævnskendelser vedrørende færdselsuheld.aspx;IndboManual;;Ankenævnskendelser og domme;;
Ankenævnskendelser vedrørende genlevering.aspx;IndboManual;;Ankenævnskendelser og domme;;
Ankenævnskendelser vedrørende glemte, tabte og forlagte genstande.aspx;IndboManual;;Ankenævnskendelser og domme;;
Ankenævnskendelser vedrørende grov uagtsomhed. Simpelt tyveri udenfor bygning og uaflåst bygning.aspx;IndboManual;;Ankenævnskendelser og domme;;
Ankenævnskendelser vedrørende grov uagtsomhed. Tyveri fra biler.aspx;IndboManual;;Ankenævnskendelser og domme;;
Ankenævnskendelser vedrørende haveredskaber, herunder en atv, som haveredskab.aspx;IndboManual;;Ankenævnskendelser og domme;;
Ankenævnskendelser vedrørende hærværk begået af personer med lovlig adgang.aspx;IndboManual;;Ankenævnskendelser og domme;;
Ankenævnskendelser vedrørende hærværk.aspx;IndboManual;;Ankenævnskendelser og domme;;
Ankenævnskendelser vedrørende Indbogenstande - erhvervsgenstande.aspx;IndboManual;;Ankenævnskendelser og domme;;
Ankenævnskendelser vedrørende midlertidigt hjemmeboende børn.aspx;IndboManual;;Ankenævnskendelser og domme;;
Ankenævnskendelser vedrørende midlertidigt uden for forsikringsstedet.aspx;IndboManual;;Ankenævnskendelser og domme;;
Ankenævnskendelser vedrørende musikudstyr til privat eller erhvervsmæssig brug.aspx;IndboManual;;Ankenævnskendelser og domme;;
Ankenævnskendelser vedrørende nedsat nytteværdi.aspx;IndboManual;;Ankenævnskendelser og domme;;
Ankenævnskendelser vedrørende opmagasinering.aspx;IndboManual;;Ankenævnskendelser og domme;;
Ankenævnskendelser vedrørende pc'er, kameraudstyr til privat eller erhvervsmæssig brug.aspx;IndboManual;;Ankenævnskendelser og domme;;
Ankenævnskendelser vedrørende pludselig skade - Pludseligheds kriteriet.aspx;IndboManual;;Ankenævnskendelser og domme;;
Ankenævnskendelser vedrørende pludselig skader - spild af væsker.aspx;IndboManual;;Ankenævnskendelser og domme;;
Ankenævnskendelser vedrørende pludselige skader - bortkomst eller beskadigelse.aspx;IndboManual;;Ankenævnskendelser og domme;;
Ankenævnskendelser vedrørende private- contra erhvervspenge.aspx;IndboManual;;Ankenævnskendelser og domme;;
Ankenævnskendelser vedrørende ran - gerningsøjeblikket og bemærket særlige omstændigheder.aspx;IndboManual;;Ankenævnskendelser og domme;;
Ankenævnskendelser vedrørende ran - grov uagtsomhed.aspx;IndboManual;;Ankenævnskendelser og domme;;
Ankenævnskendelser vedrørende ran - umiddelbar nærhed.aspx;IndboManual;;Ankenævnskendelser og domme;;
Ankenævnskendelser vedrørende reparation og godtgørelse for værdiforringelse.aspx;IndboManual;;Ankenævnskendelser og domme;;
Ankenævnskendelser vedrørende sandsynliggørelse af skadebegivenhed.aspx;IndboManual;;Ankenævnskendelser og domme;;
Ankenævnskendelser vedrørende skybrud.aspx;IndboManual;;Ankenævnskendelser og domme;;
Ankenævnskendelser vedrørende særlige private værdigenstande.aspx;IndboManual;;Ankenævnskendelser og domme;;
Ankenævnskendelser vedrørende særligt privat indbo i biler.aspx;IndboManual;;Ankenævnskendelser og domme;;
Ankenævnskendelser vedrørende tilbehør til motordrevne køretøjer.aspx;IndboManual;;Ankenævnskendelser og domme;;
Ankenævnskendelser vedrørende tilbehør til særligt privat indbo.aspx;IndboManual;;Ankenævnskendelser og domme;;
Ankenævnskendelser vedrørende tilsvarende genstande.aspx;IndboManual;;Ankenævnskendelser og domme;;
Ankenævnskendelser vedrørende tricktyveri.aspx;IndboManual;;Ankenævnskendelser og domme;;
Ankenævnskendelser vedrørende tyveri af arbejdsredskaber.aspx;IndboManual;;Ankenævnskendelser og domme;;
Ankenævnskendelser vedrørende tyveri af genstande fra garderober - tyveri af garderobebevis.aspx;IndboManual;;Ankenævnskendelser og domme;;
Ankenævnskendelser vedrørende tyveri begået af medhjælp.aspx;IndboManual;;Ankenævnskendelser og domme;;
Ankenævnskendelser vedrørende tyveri fra bil ved brug af rette nøgle.aspx;IndboManual;;Ankenævnskendelser og domme;;
Ankenævnskendelser vedrørende tyveri fra bil, bus, beboelsesvogne mm, hvor medlem er til stede.aspx;IndboManual;;Ankenævnskendelser og domme;;
Ankenævnskendelser vedrørende tyveri fra bolig, hvor medlem ikke har været hjemme på tyveritidspunktet.aspx;IndboManual;;Ankenævnskendelser og domme;;
Ankenævnskendelser vedrørende tyveri, hvor gerningstidspunktet strækker sig over flere måneder.aspx;IndboManual;;Ankenævnskendelser og domme;;
Ankenævnskendelser vedrørende tyveri, når der har været håndværkere i huset.aspx;IndboManual;;Ankenævnskendelser og domme;;
Ankenævnskendelser vedrørende tøbrud.aspx;IndboManual;;Ankenævnskendelser og domme;;
Ankenævnskendelser vedrørende ulovlig interesse.aspx;IndboManual;;Ankenævnskendelser og domme;;
Ankenævnskendelser vedrørende underforsikring.aspx;IndboManual;;Ankenævnskendelser og domme;;
Ankenævnskendelser vedrørende varer på prøve.aspx;IndboManual;;Ankenævnskendelser og domme;;
Ankenævnskendelser vedrørende ændret forklaring.aspx;IndboManual;;Ankenævnskendelser og domme;;
Arepa - Forretningsgang for IPhone, IPad og Applewatch der sendes til reparation eller swap hos Arepa.aspx;IndboManual;;Forretningsgang;;
Arepa.aspx;IndboManual;;Diverse;;
Asbestslam - asbeststøv.aspx;IndboManual;;Vilkårenes afsnit 18. Pludselig skade;;
Autostole.aspx;IndboManual;;Vilkårenes afsnit 1.F. Hvilke ting dækker forsikringen skader på;;"Babyautostole er omfattet af indboforsikringen 
Øvrige autostole - og selepuder er omfattet af indboforsikringen når medlem ikke har bil"
Batterier, løsdele og tilbehør.aspx;IndboManual;;Vilkårenes afsnit 19. El-skade og elektronikdækning;;
Beboet - ikke beboet sommerhuse og campingvogne.aspx;IndboManual;;Vilkårenes afsnit 5. Simpelt tyveri - Bil mv.;;
Begrebet færdselsuheld.aspx;IndboManual;;Vilkårenes afsnit 7. Færdselsuheld og havari;;
Begrebet Husforsikring.aspx;IndboManual;;Vilkårenes afsnit 11. Vandskade;;
Behandling af fundne genstande og beskadigede genstande, som vi beder om at få indsendt.aspx;IndboManual;;Forretningsgang;;
Behandling af stormskader.aspx;IndboManual;;Vilkårenes afsnit 10. Storm - voldsomt sky- og tøbrud - snetryk;;
Beregning af dobbeltforsikringskrav fra elektronikforsikringer, når rester er fratrukket i kravet.aspx;IndboManual;;Erstatningsopgørelse;;
Beregning af en frysers kapacitet.aspx;IndboManual;;Vilkårenes afsnit 12. Køle- og dybfrostskade;;
Besvarelse i klagesager.aspx;IndboManual;;Forretningsgang;;
Betaling for nedtagning, levering, opsætning, montering og installering.aspx;IndboManual;;Erstatningsopgørelse;;
Biblioteksbøger, cd'er, dvd'er lånt på biblioteket.aspx;IndboManual;;Erstatningsopgørelse;;
Bitcoin.aspx;IndboManual;;Vilkårenes afsnit 1.F. Hvilke ting dækker forsikringen skader på;;Bitcoins er ikke omfattet af indboforsikringen
Blæseskader.aspx;IndboManual;;Vilkårenes afsnit 18. Pludselig skade;;
Bofælle.aspx;IndboManual;;Vilkårenes afsnit 1.B. Hvem dækker forsikringen;;1 bofælle er omfattet af medlems indboforsikring, hvis medlem er indforstået med, at bofællen belaster medlems forsikring ved skader.
Boligbyt - hærværk i boligen.aspx;IndboManual;;Vilkårenes afsnit 8. Hærværk;;
Bortkomst af rejsegods der sendes med fly.aspx;IndboManual;;Vilkårenes afsnit 13. Rejsegods;;
Brand - Flammedannelsen skal være løssluppen.aspx;IndboManual;;Vilkårenes afsnit 2. Brand, lynnedslag og eksplosion mv.;;Genstande, der bliver tabt eller ved en fejl smidt ind i et havebål, pejs, halmfyr eller pillefyr er ikke en dækningsberettigende brandskade
Brand opstået i batterier til modelfly.aspx;IndboManual;;Vilkårenes afsnit 2. Brand, lynnedslag og eksplosion mv.;;Ved brand opstået i et flybatteri til modelfly skal vi være opmærksomme på evt. regresmulighed eller om medlem har udvist grov uagtsomhed i forhold til opladning af batteriet
Brobizz.aspx;IndboManual;;Vilkårenes afsnit 1.F. Hvilke ting dækker forsikringen skader på;;En brobizz er biltilbehør og ikke omfattet af indboforsikringen.
Brud.aspx;IndboManual;;Vilkårenes afsnit 20. Glas og sanitet;;
Brudekjoler og vielsesringe.aspx;IndboManual;;Erstatningsopgørelse;;
Brygudstyr og andre indbogenstande til hobbybrug.aspx;IndboManual;;Vilkårenes afsnit 1.F. Hvilke ting dækker forsikringen skader på;;Større samlinger af indbogenstande, som hobby, er omfattet af indboforsikringen
Bygge- og reparationsarbejder.aspx;IndboManual;;Vilkårenes afsnit 9. Udstrømning af væsker (Vandskade);;
Byggerester.aspx;IndboManual;;Vilkårenes afsnit 1.F. Hvilke ting dækker forsikringen skader på;;Mindre mængde byggerester, som fx. ekstra tagsten, fliser ol. er omfattet af indboforsikringen
Bygningsdele, som medlem som ejer eller lejer selv installerer i lejet hus, lejlighed, andels,- eller ejerlejlighed.aspx;IndboManual;;Vilkårenes afsnit 1.F. Hvilke ting dækker forsikringen skader på;;Bygningsdele som medlem selv installerer (fx. nedsænkede lofter, gulvbelægninger mm) i en lejet bolig, andels - eller ejerlejlighed er omfattet af Indboforsikringen, som almindeligt privat indbo, hvis bygningsdelen monteres ovenpå en anden bygningsdel og Bygningsforsikringen ikke dækker.
Båd og bådmotor.aspx;IndboManual;;Vilkårenes afsnit 1.F. Hvilke ting dækker forsikringen skader på;;
Både ved sommerhus.aspx;IndboManual;;Sommerhusforsikringen;;
Bådtrailer.aspx;IndboManual;;Vilkårenes afsnit 1.F. Hvilke ting dækker forsikringen skader på;;Bådtrailer uden nummerplade er omfattet af indboforsikringen, når den er tilbehør til en både på under 6 meter
Bøger - skønlitteratur og faglitteratur.aspx;IndboManual;;Erstatningsopgørelse;;
Campingvogn - tyveri af kontanter.aspx;IndboManual;;Erstatningsopgørelse;;
Cd'er, dvd'er, vhs-bånd. lp-plader.aspx;IndboManual;;Erstatningsopgørelse;;
Chip til spillekonsol - Lovlig interesse.aspx;IndboManual;;Vilkårenes afsnit 1.F. Hvilke ting dækker forsikringen skader på;;Chip til spillekonsol er omfattet af indboforsikringen
Computerprogrammer - Ulovlig interesse.aspx;IndboManual;;Vilkårenes afsnit 1.F. Hvilke ting dækker forsikringen skader på;;Software som medlem ikke har licens til, er ikke omfattet af indboforsikringen
Cover til mobiler, tablets og pc'er.aspx;IndboManual;;Erstatningsopgørelse;;
Crosser og pocketbike.aspx;IndboManual;;Vilkårenes afsnit 1.F. Hvilke ting dækker forsikringen skader på;;
Cykel +Skader.aspx;IndboManual;;Vilkårenes afsnit 21. Cykel Plus;;
Cykel - Behandling af tyveri af og skader på cykler.aspx;IndboManual;;Diverse;;
Cykel - Carboncykler - selvrisiko på 5000 kr.aspx;IndboManual;;Vilkårenes afsnit 21. Cykel Plus;;
Cykel - Dyre cykler - dyre hjul - dokumentation.aspx;IndboManual;;Vilkårenes afsnit 21. Cykel Plus;;
Cykel - Kravet om 2 låse under transport.aspx;IndboManual;;Vilkårenes afsnit 21. Cykel Plus;;
Cykel - Kørselsskader og den udvidet kaskodækning.aspx;IndboManual;;Vilkårenes afsnit 21. Cykel Plus;;
Cykel - Reparation af cykelstel i carbon.aspx;IndboManual;;Vilkårenes afsnit 21. Cykel Plus;;
Cykel - Statistikkoder og stelnummer.aspx;IndboManual;;Vilkårenes afsnit 21. Cykel Plus;;
Cykel - Tilpasning.aspx;IndboManual;;Vilkårenes afsnit 21. Cykel Plus;;
Cykel - tyveriforsøg eller hærværk.aspx;IndboManual;;Vilkårenes afsnit 8. Hærværk;;
Cykeltrailer.aspx;IndboManual;;Erstatningsopgørelse;;
Cykeltyveri - stelnummer og låsekrav.aspx;IndboManual;;Erstatningsopgørelse;;
Cykler - Brugte og renoverede.aspx;IndboManual;;Erstatningsopgørelse;;
Cykler - Køb af tilvejekomne cykler.aspx;IndboManual;;Forretningsgang;;
Cykler - Ran.aspx;IndboManual;;Vilkårenes afsnit 6. Ran, røveri og overfald;;
Cykler - Tyveri af cykler - registrering i politiets register.aspx;IndboManual;;Forretningsgang;;
Cykler med hjælpemotor - eldrevne cykler.aspx;IndboManual;;Vilkårenes afsnit 1.F. Hvilke ting dækker forsikringen skader på;;El-cykler opgøres i henhold til indbovilkårenes afskrivningstabel for cykler
Dansk Respo-teknik.aspx;IndboManual;;Vilkårenes afsnit 20. Glas og sanitet;;
Den daglige sagsbehandling - drift.aspx;IndboManual;;Diverse;;
Depositum irregulare - opbevaring af andres penge.aspx;IndboManual;;Vilkårenes afsnit 1.F. Hvilke ting dækker forsikringen skader på;;
Depositum regulare.aspx;IndboManual;;Vilkårenes afsnit 1.F. Hvilke ting dækker forsikringen skader på;;
Designertøj og tasker, herunder ægte - uægte varer - kopivarer.aspx;IndboManual;;Erstatningsopgørelse;;
Destruktion af madvarer.aspx;IndboManual;;Vilkårenes afsnit 12. Køle- og dybfrostskade;;
DFIM.aspx;IndboManual;;Vilkårenes afsnit 7. Færdselsuheld og havari;;
Diktafon.aspx;IndboManual;;Vilkårenes afsnit 1.F. Hvilke ting dækker forsikringen skader på;;
Direkte lynnedslag - Obs evt. bedre dækning iht. El-skade og elektronikdækningen.aspx;IndboManual;;Vilkårenes afsnit 2. Brand, lynnedslag og eksplosion mv.;;"Vi dækker som direkte lynnedslag, når lynet slår ned på forsikringsstedet eller i den elmast, som huset er tilsluttet 
Et direkte lynneslag efterlader synlige spor/skade på det sted, hvor lynet slår ned."
Dobbeltforsikring - opsigelse.aspx;IndboManual;;Forretningsgang;;
Dobbeltforsikring for delebørn.aspx;IndboManual;;Vilkårenes afsnit 1.B. Hvem dækker forsikringen;;Delebørn er omfattet af begge forældres forsikring
Dobbeltforsikring i henhold til FALs §§ 41-43.aspx;IndboManual;;Erstatningsopgørelse;;"FAL's §§ 41-43 gælder i alle tilfælde, hvor to eller flere forsikringsselskaber har dækning for samme genstand og skadeårsag
FAL §§ 41-43 gælder ikke i forhold til os selv"
Dobbeltforsikringskrav, hvor vores medlem ikke ønsker at anmelde skaden.aspx;IndboManual;;Erstatningsopgørelse;;Hvis vi modtager et dobbeltforsikringskrav fra et andet selskab, bliver vi nødt til at behandle dette krav, uanset om vores medlem ønsker at anmelde skaden til os.
Dokumentation - hvornår beder vi om dokumentation.aspx;IndboManual;;Erstatningsopgørelse;;
Dokumentation - Søgning af informationer på fotos.aspx;IndboManual;;Erstatningsopgørelse;;
Dokumentation for kontanter.aspx;IndboManual;;Erstatningsopgørelse;;
Dokumentation.aspx;IndboManual;;Erstatningsopgørelse;;
Drivhus og væksthus på lejet grund, ved andelsboliger og embedsboliger.aspx;IndboManual;;Vilkårenes afsnit 1.F. Hvilke ting dækker forsikringen skader på;;
Dusør - findeløn.aspx;IndboManual;;Erstatningsopgørelse;;
Dybfrostskader og el-skader sket under storm.aspx;IndboManual;;Vilkårenes afsnit 10. Storm - voldsomt sky- og tøbrud - snetryk;;
Dyr.aspx;IndboManual;;Erstatningsopgørelse;;
Dyre ure - Ægthedsbeviser.aspx;IndboManual;;Erstatningsopgørelse;;
Dækning af rejsegods.aspx;IndboManual;;Vilkårenes afsnit 13. Rejsegods;;
Dækning af særligt privat indbo og elektriske apparater i henhold til sommerhusvilkårene.aspx;IndboManual;;Sommerhusforsikringen;;
Dækning i øvelokaler, på arbejdspladser, i hestepensioner og sportsklubber.aspx;IndboManual;;Vilkårenes afsnit 1.C. Hvor dækker forsikringen;;"Indbogenstande der permanent er anbragt disse steder. Dvs. i mere end 12 mdr. er dækket.   
vilkårenes undtagelsesbestemmelse for særligt privat indbo gælder på disse steder, hvis stedet er et loft- eller kælderrum i etagebyggeri, udhus eller garage"
Dækning ophører efter 3 måneder - udeboende børn der fylder 21 år.aspx;IndboManual;;Vilkårenes afsnit 1.B. Hvem dækker forsikringen;;"Indbovilkår 33-5
Dækningen for et udeboende barn eller delebarn ophører den dag, barnet fylder 21 år."
Dækning på 2 adresser.aspx;IndboManual;;Vilkårenes afsnit 1.C. Hvor dækker forsikringen;;Dækning på 2 adresser kun mod et præmietillæg
Eget arbejde.aspx;IndboManual;;Erstatningsopgørelse;;
Eksempler på forældelse.aspx;IndboManual;;Erstatningsopgørelse;;
Eksplosion - fyrværkeri.aspx;IndboManual;;Vilkårenes afsnit 2. Brand, lynnedslag og eksplosion mv.;;Alle skader der sker ved fyrværkeri (raketter, bordbomber mv) er en eksplosion. Dette uanset om det er selve raketten/bordbomben eller kun gløderne fra raketten/bordbomben, der forvolder skaden.
El-løbehjul.aspx;IndboManual;;Vilkårenes afsnit 1.F. Hvilke ting dækker forsikringen skader på;;
El-priser.aspx;IndboManual;;Erstatningsopgørelse;;
El-pærer.aspx;IndboManual;;Vilkårenes afsnit 19. El-skade og elektronikdækning;;
Elektriske genstande bliver udsat for vand.aspx;IndboManual;;Vilkårenes afsnit 19. El-skade og elektronikdækning;;
Elektriske musikinstrumenter.aspx;IndboManual;;Erstatningsopgørelse;;
Elektronikdækningen.aspx;IndboManual;;Vilkårenes afsnit 19. El-skade og elektronikdækning;;
Elektronisk garageåbner - portåbner - fjernbetjening.aspx;IndboManual;;Vilkårenes afsnit 1.F. Hvilke ting dækker forsikringen skader på;;
Emhætte.aspx;IndboManual;;Vilkårenes afsnit 1.F. Hvilke ting dækker forsikringen skader på;;
Erstatning - 50 procent reglen - Indbovilkår 33-4.aspx;IndboManual;;Erstatningsopgørelse;;
Erstatning - Betaling af faktura til håndværker eller medlem.aspx;IndboManual;;Erstatningsopgørelse;;
Erstatning - Drivhuse - Glas i drivhuse.aspx;IndboManual;;Erstatningsopgørelse;;
Erstatning - Hvem kan vi udbetale til.aspx;IndboManual;;Erstatningsopgørelse;;
Erstatning - Renter.aspx;IndboManual;;Erstatningsopgørelse;;
Erstatning - skybrudsskader - Det gode købmandsskab.aspx;IndboManual;;Erstatningsopgørelse;;
Erstatning - Smykker - Anker-, Bismark-, Panser- og Geneveguldkæder.aspx;IndboManual;;Erstatningsopgørelse;;
Erstatning for briller - tilskud fra Danmark.aspx;IndboManual;;Erstatningsopgørelse;;
Erstatning for egne produktioner - hjemmelavede genstande.aspx;IndboManual;;Erstatningsopgørelse;;
Erstatning for el-skade i computerdele.aspx;IndboManual;;Erstatningsopgørelse;;
Erstatning for lejede - leasede genstande.aspx;IndboManual;;Erstatningsopgørelse;;
Erstatning for rengøring.aspx;IndboManual;;Erstatningsopgørelse;;
Erstatning Redning-  og bevaringsudgifter - ingen selvrisiko.aspx;IndboManual;;Erstatningsopgørelse;;
Faktura eller kreditnota til offentlige myndigheder.aspx;IndboManual;;Diverse;;
Falck - Falck postkassen.aspx;IndboManual;;Forretningsgang;;
Fareforøgelse.aspx;IndboManual;;Erstatningsopgørelse;;
Farveloyal - mærkeloyal.aspx;IndboManual;;Erstatningsopgørelse;;
Fastboende medhjælp i husholdningen - udvekslingsstudenter.aspx;IndboManual;;Vilkårenes afsnit 1.B. Hvem dækker forsikringen;;Fastboende medhjælp i husholdningen og udvekslingsstudenter er omfattet af den sikrede personkreds
Fastmonteret.aspx;IndboManual;;Vilkårenes afsnit 20. Glas og sanitet;;
Fastpass - Vejledning til brug af Fastpass.aspx;IndboManual;;Diverse;;
FDM medlemmer der overgår til TRYG.aspx;IndboManual;;Forretningsgang;;
Feriehus eller ferielejlighed – Indbrudstyveri ikke krav om voldeligt opbrud.aspx;IndboManual;;Vilkårenes afsnit 3. Indbrudstyveri;;Kravet om voldeligt opbrud gælder ikke ved tyveri fra et feriehus eller ferielejlighed. Disse steder gælder almindelige krav om forsvarlig aflåsning
Festival-armbånd.aspx;IndboManual;;Vilkårenes afsnit 1.F. Hvilke ting dækker forsikringen skader på;;
Flere erstatninger for samme skade.aspx;IndboManual;;Forretningsgang;;
Flytning - Dækning i både den gamle og den nye bolig.aspx;IndboManual;;Vilkårenes afsnit 1.C. Hvor dækker forsikringen;;Dækningen i 3 mdr. starter fra den faktiske overtagelsesdag. Vi sætter den faktiske overtagelsesdag til den dag, hvor medlem flytter den første genstand til den nye adresse.
Flyttegods - fragtgods - Flytning til udlandet.aspx;IndboManual;;Vilkårenes afsnit 1.C. Hvor dækker forsikringen;;Når medlem flytter fra forsikringsstedet til udlandet er de Kufferter og håndbagage som medlem tager med sig på rejsen, til den nye bolig, at betragte som rejsegods og skal behandles i henhold til indboforsikringens rejsegodsdækning
Fordelingsvejledningen.aspx;IndboManual;;Erstatningsopgørelse;;
Forsikringens ikrafttrædelses- og ophørstidspunkt.aspx;IndboManual;;Diverse;;
Forsikringer og serviceaftaler.aspx;IndboManual;;Erstatningsopgørelse;;
Forsvarlig aflåsning - Københavnerlås.aspx;IndboManual;;Vilkårenes afsnit 3. Indbrudstyveri;;En københavnerlås er som udgangspunkt en forsvarlig aflåsning
Forsvarlig aflåsning, når medlem er hjemme - Indbrud contra simpelt tyveri.aspx;IndboManual;;Vilkårenes afsnit 3. Indbrudstyveri;;Vilkårenes krav om forsvarlig aflåsning er en sikkerhedsforskrift. En sikkerhedsforskrift er kun overtrådt, hvis dette er sket ved en forsømmelse
Forsætligt udsat for ild og varme – skade på selve opvarmningskilden – skade forvoldt af varmepuder.aspx;IndboManual;;Vilkårenes afsnit 2. Brand, lynnedslag og eksplosion mv.;;En genstand er forsætligt udsat for ild og varme når genstanden bevidst anbringes i nærheden af opvarmningskilden
Forældelse.aspx;IndboManual;;Erstatningsopgørelse;;
Forældelsesreglerne vist i forskellige eksempler.aspx;IndboManual;;Erstatningsopgørelse;;
Fremsendelse af Ankenævnskendelser.aspx;IndboManual;;Forretningsgang;;
Frimærker og mønter - samlinger, ubrugte og brugbare.aspx;IndboManual;;Vilkårenes afsnit 1.F. Hvilke ting dækker forsikringen skader på;;
Fritstående radiatorer.aspx;IndboManual;;Vilkårenes afsnit 1.F. Hvilke ting dækker forsikringen skader på;;
Frostsprængning - førstegangs kulancedækning.aspx;IndboManual;;Vilkårenes afsnit 9. Udstrømning af væsker (Vandskade);;"Første gangs kulance-dækning gives i helårsboligen, når medlem har både indbo- og husforsikring hos os. 
Dækningen gives ikke i sommerhuse"
Fuld valuta - udbetaling.aspx;IndboManual;;Forretningsgang;;
Fyringsolie og brænde.aspx;IndboManual;;Vilkårenes afsnit 1.F. Hvilke ting dækker forsikringen skader på;;
Færdselsuheld - flyttegods.aspx;IndboManual;;Vilkårenes afsnit 7. Færdselsuheld og havari;;"Færdselsskade på flyttegods
Vi dækker færdselsskader på flyttegods opstået ved private flytninger. 

Vi afviser færdselsskader på flyttegods, der er overgivet til transport mod betaling."
Færdselsuheld og færdselsloven.aspx;IndboManual;;Vilkårenes afsnit 7. Færdselsuheld og havari;;
Følgeskader efter en dækningsberettigende skade.aspx;IndboManual;;Diverse;;
Følgeskader på husdyr.aspx;IndboManual;;Erstatningsopgørelse;;
