Navn;Område;Sti
b. Hvem udarbejder dagsværdiopgørelse.aspx;Erstatningskravet;Skade/hb/reg/SitePages
b. Hvordan forberedes regreskravet.aspx;Forløbet af en regressag;Skade/hb/reg/SitePages
b. Objektivt ansvar som følge af materialetræthed.aspx;Hyppige skadeårsager – 6. Regres mod forsyningsselskaber (kloak/forsyning);Skade/hb/reg/SitePages
b. overspændingsskader.aspx;Hyppige skadeårsager – 5. Regres mod elforsyningsselskaber (stærkstrøm);Skade/hb/reg/SitePages
b. Regres mod bygningssagkyndige (fejl i tilstandsrapport).aspx;Hyppige skadeårsager - 2. Regres mod andre erhvervsdrivende;Skade/hb/reg/SitePages
b. Rykkerprocedure og overdragelse til Medlemsjura.aspx;Regressager, hvor modpart ikke svarer (inkassosager);Skade/hb/reg/SitePages
b. Skade på skjulte rør eller ledninger.aspx;Hyppige skadeårsager - 1. Regres mod håndværkere;Skade/hb/reg/SitePages
b. Ukrudtsafbrænding.aspx;Hyppige skadeårsager - 3. Regres mod private (grov uagtsomhed);Skade/hb/reg/SitePages
c. Culpaansvar ved propper, manglende vedligeholdelse mv.aspx;Hyppige skadeårsager – 6. Regres mod forsyningsselskaber (kloak/forsyning);Skade/hb/reg/SitePages
c. Hvad er forskellen på en civil sag og en straffesag.aspx;Gerningsmandssager;Skade/hb/reg/SitePages
c. Hvad er regres.aspx;Overordnet om regres;Skade/hb/reg/SitePages
c. Hvad er Regresgruppens opgaver i relation til regres - Hvordan overdrages sager til Regresgruppen.aspx;Opgavefordeling: Skadebehandler, taksator, Regresgruppe og Medlemsjura;Skade/hb/reg/SitePages
c. Hvad sker der, når sagen overdrages til Medlemsjura.aspx;Regressager, hvor modpart ikke svarer (inkassosager);Skade/hb/reg/SitePages
c. Hvornår skal regreskravet rejses.aspx;Forløbet af en regressag;Skade/hb/reg/SitePages
c. Kommunikation med taksatorer, skadeservice og håndværkere om regres.aspx;Bevissikring;Skade/hb/reg/SitePages
c. Manglende eller mangelfuld glatførebekæmpelse.aspx;Hyppige skadeårsager – 8. Regres mod offentlige myndigheder;Skade/hb/reg/SitePages
c. Regres mod erhvervsdrivende udlejer.aspx;Hyppige skadeårsager - 2. Regres mod andre erhvervsdrivende;Skade/hb/reg/SitePages
c. Råd- og svampeskader.aspx;Hyppige skadeårsager - 1. Regres mod håndværkere;Skade/hb/reg/SitePages
c. Strømafbrydelser.aspx;Hyppige skadeårsager – 5. Regres mod elforsyningsselskaber (stærkstrøm);Skade/hb/reg/SitePages
c. Sælger af fast ejendom.aspx;Hyppige skadeårsager - 3. Regres mod private (grov uagtsomhed);Skade/hb/reg/SitePages
d. Brændte nulledere.aspx;Hyppige skadeårsager – 5. Regres mod elforsyningsselskaber (stærkstrøm);Skade/hb/reg/SitePages
d. Entrepriseansvar (farlige arbejder).aspx;Hyppige skadeårsager - 2. Regres mod andre erhvervsdrivende;Skade/hb/reg/SitePages
d. Erstatningsansvar og samspillet med forsikring.aspx;Overordnet om regres;Skade/hb/reg/SitePages
d. Hvad er Medlemsjuras opgaver i relation til regres - Hvordan overdrages sager til Medlemsjura.aspx;Opgavefordeling: Skadebehandler, taksator, Regresgruppe og Medlemsjura;Skade/hb/reg/SitePages
d. Hvad gør jeg, hvis nogle andre har vores bevis.aspx;Bevissikring;Skade/hb/reg/SitePages
d. Mod hvem rettes et regreskrav.aspx;Forløbet af en regressag;Skade/hb/reg/SitePages
d. Påbrænding af tagpap.aspx;Hyppige skadeårsager - 1. Regres mod håndværkere;Skade/hb/reg/SitePages
d. Skal vores krav medtages under staffesagen, eller skal vi anlægge civilt søgsmål.aspx;Gerningsmandssager;Skade/hb/reg/SitePages
d. Undladt at handle trods opfordringer.aspx;Hyppige skadeårsager - 3. Regres mod private (grov uagtsomhed);Skade/hb/reg/SitePages
e. Forskellen på ansvar og hæftelse.aspx;Overordnet om regres;Skade/hb/reg/SitePages
e. Gerningsmænd.aspx;Hyppige skadeårsager - 3. Regres mod private (grov uagtsomhed);Skade/hb/reg/SitePages
e. Hvad betyder det at ”få dom for kravet”.aspx;Gerningsmandssager;Skade/hb/reg/SitePages
e. Hvem skal jeg spørge, hvis jeg er i tvivl om regressen.aspx;Opgavefordeling: Skadebehandler, taksator, Regresgruppe og Medlemsjura;Skade/hb/reg/SitePages
e. Hvilke krav rejser vi (bagatelgrænse).aspx;Forløbet af en regressag;Skade/hb/reg/SitePages
e. Hvorfor er det vigtigt at bevissikre.aspx;Bevissikring;Skade/hb/reg/SitePages
e. Niveauforskelle og mangelfuld glatførebekæmpelse.aspx;Hyppige skadeårsager - 2. Regres mod andre erhvervsdrivende;Skade/hb/reg/SitePages
e. Tagspuling.aspx;Hyppige skadeårsager - 1. Regres mod håndværkere;Skade/hb/reg/SitePages
f. Arbejdsfordelingen – a. Skadebehandler og taksators rolle.aspx;Gerningsmandssager;Skade/hb/reg/SitePages
f. Arbejdsfordelingen – b. Skadestabs rolle.aspx;Gerningsmandssager;Skade/hb/reg/SitePages
f. Arbejdsfordelingen – c. Medlemsjuras rolle.aspx;Gerningsmandssager;Skade/hb/reg/SitePages
f. Bevisbyrderegler.aspx;Overordnet om regres;Skade/hb/reg/SitePages
f. Graveskader.aspx;Hyppige skadeårsager - 1. Regres mod håndværkere;Skade/hb/reg/SitePages
f. Hvordan sammensættes regreskravet.aspx;Forløbet af en regressag;Skade/hb/reg/SitePages
f. Niveauforskelle og mangelfuld glatførebekæmpelse.aspx;Hyppige skadeårsager - 3. Regres mod private (grov uagtsomhed);Skade/hb/reg/SitePages
f. Rådgivningsansvar.aspx;Hyppige skadeårsager - 2. Regres mod andre erhvervsdrivende;Skade/hb/reg/SitePages
f. Tidlig involvering af skadevolder (fælles besigtigelse).aspx;Bevissikring;Skade/hb/reg/SitePages
g. Akvarier.aspx;Hyppige skadeårsager - 2. Regres mod andre erhvervsdrivende;Skade/hb/reg/SitePages
g. Fejlmontering eller produktansvar.aspx;Hyppige skadeårsager - 1. Regres mod håndværkere;Skade/hb/reg/SitePages
g. Forældelse.aspx;Overordnet om regres;Skade/hb/reg/SitePages
g. Hvor opbevarer vi vores bevismateriale.aspx;Bevissikring;Skade/hb/reg/SitePages
g. Hvordan argumenterer vi, hvis regreskravet afvises.aspx;Forløbet af en regressag;Skade/hb/reg/SitePages
g. Procesbeskrivelse for gerningsmandssager.aspx;Gerningsmandssager;Skade/hb/reg/SitePages
g. Skade forvoldt af børn.aspx;Hyppige skadeårsager - 3. Regres mod private (grov uagtsomhed);Skade/hb/reg/SitePages
h. Anmodning om aktindsigt.aspx;Bevissikring;Skade/hb/reg/SitePages
h. Hvem skal bevise hvad.aspx;Forløbet af en regressag;Skade/hb/reg/SitePages
h. Medlems selvrisikokrav og håndtering af medlemmet under en regressag.aspx;Overordnet om regres;Skade/hb/reg/SitePages
i. Er modpartens anerkendelse bindende.aspx;Forløbet af en regressag;Skade/hb/reg/SitePages
i. Lovfortegnelse med forkortelser.aspx;Overordnet om regres;Skade/hb/reg/SitePages
i. Må jeg udlevere vores bevismateriale til modparten.aspx;Bevissikring;Skade/hb/reg/SitePages
j. Hvornår kan udbedring igangsættes.aspx;Bevissikring;Skade/hb/reg/SitePages
j. Må jeg selv opgive et regreskrav.aspx;Forløbet af en regressag;Skade/hb/reg/SitePages
j. Statistikker.aspx;Overordnet om regres;Skade/hb/reg/SitePages
k. Hvad gør jeg, hvis modparten tilbyder at betale en del af kravet (forlig).aspx;Forløbet af en regressag;Skade/hb/reg/SitePages
l. Må jeg selv tilbyde modparten at betale en del af kravet (forlig).aspx;Forløbet af en regressag;Skade/hb/reg/SitePages
m. Hvad gør jeg, hvis modparten ikke svarer på vores henvendelser.aspx;Forløbet af en regressag;Skade/hb/reg/SitePages
n. Hvad gør jeg, hvis modparten er gået konkurs eller lignende.aspx;Forløbet af en regressag;Skade/hb/reg/SitePages
o. Hvad gør jeg, hvis medlemmet nægter at udlevere oplysninger.aspx;Forløbet af en regressag;Skade/hb/reg/SitePages
p. Procesbeskrivelse.aspx;Forløbet af en regressag;Skade/hb/reg/SitePages
Regres i tilfælde af stormskader.aspx;Hyppige skadeårsager – 9. Regres i tilfælde af stormskader;Skade/hb/reg/SitePages
Regres mod flyselskaber (beskadiget og bortkommen bagage).aspx;Hyppige skadeårsager – 10. Regres mod flyselskaber (beskadiget og bortkommen bagage);Skade/hb/reg/SitePages
Regres mod motorkøretøjer.aspx;Hyppige skadeårsager – 7. Regres mod motorkøretøjer;Skade/hb/reg/SitePages
Regres ved defekte produkter (produktansvar).aspx;Hyppige skadeårsager – 4. Regres ved defekte produkter (produktansvar);Skade/hb/reg/SitePages
Regres ved forureningsskader.aspx;Hyppige skadeårsager – 12. Regres ved forureningsskader;Skade/hb/reg/SitePages
Regres ved skade forvoldt af dyr.aspx;Hyppige skadeårsager – 11. Regres ved skade forvoldt af dyr;Skade/hb/reg/SitePages
Startside.aspx;Forløbet af en regressag;Skade/hb/reg/SitePages
