Filnavn;Gruppe;Undergruppe;Branche
Vedrørende skade på sikrede personer.aspx;Ankenævnskendelser og Domme ;Personskader og tingskader;Ansvar
Vedrørende snubleskader.aspx;Ankenævnskendelser og Domme;Personskader og tingskader;Ansvar
Vedrørende skade forvoldt under arbejde.aspx;Ankenævnskendelser og Domme ;Personskader og tingskader;Ansvar
Vedrørende hundeansvar - accept af risiko.aspx;Ankenævnskendelser og Domme ;Personskader og tingskader;Ansvar
Vedrørende spirituspåvirkning.aspx;Ankenævnskendelser og Domme ;Personskader og tingskader;Ansvar
Vedrørende pasning af hund.aspx;Ankenævnskendelser og Domme ;Personskader og tingskader;Ansvar
Vedrørende færdselsskader.aspx;Ankenævnskendelser og Domme ;Personskader og tingskader;Ansvar
Vedrørende skader forvoldt af heste.aspx;Ankenævnskendelser og Domme ;Personskader og tingskader;Ansvar
Vedrørende ejer af enkelt bygning ikke blev anset som værende erhvervsdrivende.aspx;Ankenævnskendelser og Domme ;Personskader og tingskader;Ansvar
Vedrørende ansatte forvolder skade på hinanden.aspx;Ankenævnskendelser og domme;Personskader og tingskader;Ansvar
Vedrørende selskabets anerkendelse.aspx;Ankenævnskendelser og Domme ;Personskader og tingskader;Ansvar
Vedrørende grov uagtsomhed.aspx;Ankenævnskendelser og Domme ;Personskader og tingskader;Ansvar
Vedrørende glideskader.aspx;Ankenævnskendelser og Domme ;Personskader og tingskader;Ansvar
Vedrørende passager forvolder skade på bil.aspx;Ankenævnskendelser og Domme ;Personskader og tingskader;Ansvar
Vedrørende produktansvar.aspx;Ankenævnskendelser og Domme ;Personskader og tingskader;Ansvar
Vedrørende skade forvoldt i lejede bygninger.aspx;Ankenævnskendelser og Domme ;Personskader og tingskader;Ansvar
Vedrørende forsætlige skader.aspx;Ankenævnskendelser og Domme ;Personskader og tingskader ;Ansvar
Vedrørende selvforsikrede skoler EAL § 20.aspx;Forretningsgang;Selvforsikrede skoler;Ansvar
Skade på bygningsdele i hotelværelser og lejede ferieboliger.aspx;Lån/leje dækning;Skade på bygning og bygningsdele;Ansvar
Hundeansvar - lån, leje mm.aspx;HUndeansvar;Skade på lånte eller lejede ting;Ansvar
Pasning af andres hunde.aspx;Hundeansvar;Skade på person og ting;Ansvar
Henvisning til eget forsikringsselskab.aspx;Forretningsgang;skade på ruder, tyske biler og skader forvoldt af hunde;Ansvar
afsavnserstatning.aspx;Opgørelse ;Skade på taxa;Ansvar
Erstatningsbil.aspx;Opgørelse;Skade på taxa;Ansvar
Skadelidtes pligt i forbindelse med en skade.aspx;Opgørelse;Skadelidtes krav;Ansvar
Genstande lånt på skole.aspx;Lån/Leje dækning;Skolemateriale;Ansvar
Skader forvoldt ved brug af legetøj med motorkraft under 5 hk.aspx;Færdselsskader og motoransvar;ting og personskader;Ansvar
Færdselsregler på ski.aspx;Sportsskader ;Ting og personskader;Ansvar
Skade opstået under hundeslagsmål.aspx;Hundeansvar;Ting og personskader;Ansvar
Spiritus.aspx;Behandling af ansvarsskader;Ting og personskader;Ansvar
Erhvervsansvarsforsikringer - branche 52.aspx;Behandling af ansvarsskader;Ting og personskader;Ansvar
Husejers ansvar for lejers forsømmelse.aspx;Husejeransvar;ting og personskader;Ansvar
Golfskader.aspx;Sportsskader;Ting og personskader;Ansvar
Skade på arbejdsgivers genstande.aspx;Skade sket under arbejde ;Tingskade;Ansvar
Skade forvoldt på bil - værdiforringelse.aspx;Opgørelse;tingskade;Ansvar
Ledningsejerregistret.aspx;Husejeransvar;Tingskader;Ansvar
Gæstebudsskade.aspx;Gæstebudsskader;Tingskader;Ansvar
Skade forvoldt af udeboende børn - hos udeboende børn.aspx;Gæstebudsskader;Tingskader;Ansvar
Vedrørende hundeslagsmål.aspx;Ankenævnskendelser og Domme ;Tingskader;Ansvar
Vedrørende lånte og lejede cykler.aspx;Ankenævnskendelser og domme;Tingskader;Ansvar
Vedrørende skade sket, når skadelidte ikke er hjemme.aspx;Gæstebudsskader;Tingskader;Ansvar
Erstatning til skoler og kommuner.aspx;Opgørelse;Tingskader;Ansvar
Regres Hundeansvarsforsikring.aspx;Opgørelse;Tingskader;Ansvar
Vedrørende tjenesteydelse.aspx;Ankenævnskendelser og domme;Tingskader;Ansvar
Vedrørende skade på genstand tilhørende arbejdsgiver.aspx;Ankenævnskendelser og domme;Tingskader;Ansvar
Vedrørende varetægt.aspx;Ankenævnskendelser og Domme ;Tingskader;Ansvar
Vedrørende varer på prøve.aspx;Ankenævnskendelser og domme;Tingskader;Ansvar
Vedrørende uønsket parring.aspx;Ankenævnskendelser og Domme ;Tingskader;Ansvar
Vedrørende graveskader.aspx;Ankenævnskendelser og Domme ;Tingskader;Ansvar
Vedrørende selvforsikrede kommuner.aspx;Ankenævnskendelser og Domme ;Tingskader;Ansvar
Vedrørende kommuner og skolers momsbeløb.aspx;Ankenævnskendelser og domme;Tingskader;Ansvar
Kapitel 2-aftalen.aspx;Opgørelse ;Tingskader ;Ansvar
Motorkøretøj - børns ansvar - varetægt.aspx;Færdselsskader og motoransvar;Tingskader ;Ansvar
Varer i udvalg - køb på prøve.aspx;Lån/leje dækning;Tingskader ;Ansvar
Vedrørende skadelidte bærer selvrisikobeløbet.aspx;Ankenævnskendelser og Domme ;Tingskader ;Ansvar
Skoleskader.aspx;Skade forvoldt af børn;Tingskader og personskader;Ansvar
Dobbeltforsikring.aspx;Opgørelse ;Tingskader og personskader;Ansvar
Vedrørende sportsskader.aspx;Ankenævnskendelser og Domme ;Tingskader og personskader;Ansvar
Vedrørende skiskader.aspx;Ankenævnskendelser og domme;Tingskader og personskader;Ansvar
Vedrørende hændelige skader.aspx;Ankenævnskendelser og Domme ;Tingskader og personskader;Ansvar
Vedrørende skade på hund under leg.aspx;Ankenævnskendelser og Domme ;Tngskade ;Ansvar
Trampolinskader.aspx;Husejeransvar;trampolinskader;Ansvar
Ankenævnskendelser vedrørende skade forvoldt på og med motorkøretøjer.aspx;Ankenævnskendelser og domme;;Ansvar
Reserveafsættelse i skadesager som forventes at komme til at koste over 1 mio.aspx;Opgørelse;;Ansvar
Skader forvoldt med droner.aspx;Færdselsskader og motoransvar;;Ansvar
Begge hundeejere er forsikret i Lb Koncernen.aspx;Hundeansvar;;Ansvar
Informationssøgning.aspx;Behandling af ansvarsskader;;Ansvar
Hvem behandler skader på lånte og lejede genstande.aspx;Behandling af ansvarsskader;;Ansvar
Behandling af skiskader.aspx;Forretningsgang;;Ansvar
Cykler lånt eller lejet i udlandet.aspx;Lån/leje dækning;;Ansvar
Selvrisiko.aspx;Opgørelse;;Ansvar
Rådgivningsansvar.aspx;Erhvervsansvarsforsikringen - branche 52;;Ansvar
Hvilke selskaber er tiltrådt skadesforsikringsaftalerne.aspx;Forretningsgang;;Ansvar
Ansvar for eldrevne løbehjul og eldrevne skateboard.aspx;Færdselsskader og motoransvar;;Ansvar
Eldrevet cykel.aspx;Færdselsskader og motoransvar;;Ansvar
Forældelse.aspx;Opgørelse;;Ansvar
Liste over politikredse.aspx;Diverse;;Ansvar
Liste over forsikringsselskaber.aspx;Diverse;;Ansvar
Opgørelse af erstatningens størrelse for selvrisikokrav.aspx;Opgørelse;;Ansvar
Andre landes retspraksis og anden praksis.aspx;Opgørelse;;Ansvar
Hund er årsag til bilulykke.aspx;Hundeansvar;;Ansvar
Egne skadesager forvoldt af børn.aspx;Skade forvoldt af børn;;Ansvar
Egne skadesager anerkendt som gæstebudsskade.aspx;Gæstebudsskader;;Ansvar
Spændende hundeansvarssager.aspx;Hundeansvar;;Ansvar
Slagsmål mellem hund og kat.aspx;Hundeansvar;;Ansvar
Figurantdækning.aspx;Hundeansvar;;Ansvar
Uforsikrede hunde.aspx;HUndeansvar;;Ansvar
Husejeransvar.aspx;Husejeransvar;;Ansvar
Tidligere forsikringsvilkår.aspx;Forretningsgang;;Ansvar
Vedrørende skade i ejerlejlighed.aspx;Ankenævnskendelser og domme;;Ansvar
Reserveafsættelse.aspx;Opgørelse;;Ansvar
Skade på transporterede cykler, på cykelstativ.aspx;Færdselsskader og motoransvar;;Ansvar
